condition,round,cq,id
control,2,5.394269349668519,ego_ctrl_1
control,2,5.971074975950404,ego_ctrl_2
control,2,5.090473106872166,ego_ctrl_3
control,2,3.147855887573029,ego_ctrl_4
control,2,6.021709315028298,ego_ctrl_5
control,2,5.049707447267528,ego_ctrl_6
control,2,4.898336457946727,ego_ctrl_7
control,2,4.889509384662942,ego_ctrl_8
control,2,4.7921129381388825,ego_ctrl_9
control,2,2.2715306890657625,ego_ctrl_10
control,2,7.608962628292031,ego_ctrl_11
control,2,3.5786635845668817,ego_ctrl_12
control,2,1,ego_ctrl_13
control,2,5.869326646277417,ego_ctrl_14
control,2,4.406283806850804,ego_ctrl_15
control,2,3.9495518444032673,ego_ctrl_16
control,2,3.2449428065285244,ego_ctrl_17
control,2,5.756133521287957,ego_ctrl_18
control,2,6.201305289281604,ego_ctrl_19
control,2,6.957707451116058,ego_ctrl_20
control,2,6.706561117049486,ego_ctrl_21
control,2,6.360858338661549,ego_ctrl_22
control,2,7.156722853649125,ego_ctrl_23
control,2,9.059572638849724,ego_ctrl_24
control,2,10.255786583270076,ego_ctrl_25
control,2,3.951741538637145,ego_ctrl_26
control,2,3.815297630222585,ego_ctrl_27
control,2,8.694955932133947,ego_ctrl_28
control,2,8.858012580494774,ego_ctrl_29
control,2,6.21947573,ego_ctrl_30
control,2,8.425425440982538,ego_ctrl_31
control,2,9.014676028412996,ego_ctrl_32
control,2,7.478980591728051,ego_ctrl_33
control,2,5.679776283,ego_ctrl_34
control,2,8.933324521643573,ego_ctrl_35
control,2,5.435564390679241,ego_ctrl_36
control,2,4.0132862295876315,ego_ctrl_37
control,2,4.653944107604163,ego_ctrl_38
control,2,5.3110803021351884,ego_ctrl_39
control,2,6.839474262312509,ego_ctrl_40
control,2,5.056847244209068,ego_ctrl_41
control,2,13.000544553636368,ego_ctrl_42
control,2,8.315009985095347,ego_ctrl_43
control,2,10.43178955531995,ego_ctrl_44
control,2,7.2412759923128736,ego_ctrl_45
control,2,8.526856238323973,ego_ctrl_46
control,2,11.56601553553996,ego_ctrl_47
control,2,4.896054003348711,ego_ctrl_48
control,2,6.127021255867337,ego_ctrl_49
control,2,4.124442764380227,ego_ctrl_50
control,2,7.866865438261058,ego_ctrl_51
control,2,7.287481448495449,ego_ctrl_52
control,2,6.673212076729909,ego_ctrl_53
control,2,6.788297561112428,ego_ctrl_54
control,2,6.088287504012441,ego_ctrl_55
control,2,5.328248540315038,ego_ctrl_56
control,2,8.846132900938278,ego_ctrl_57
control,2,1.495071011,ego_ctrl_58
control,2,8.015610999,ego_ctrl_59
control,2,8.885167661,ego_ctrl_60
control,2,10.162638401096356,ego_ctrl_61
control,2,6.322813649578218,ego_ctrl_62
control,2,5.388742947,ego_ctrl_63
control,2,6.866954539757238,ego_ctrl_64
control,2,8.231941608215019,ego_ctrl_65
control,2,10.011423818178194,ego_ctrl_66
control,2,7.305830826847206,ego_ctrl_67
control,2,10.627288624260087,ego_ctrl_68
control,2,7.27305183,ego_ctrl_69
control,2,8.036591682192967,ego_ctrl_70
control,2,8.398549723104487,ego_ctrl_71
control,2,4.192764236874044,ego_ctrl_72
control,2,7.055907506169534,ego_ctrl_73
control,2,18.62132175539713,ego_ctrl_74
control,2,5.486191890415638,ego_ctrl_75
control,2,8.236197636,ego_ctrl_76
control,2,7.641639347346621,ego_ctrl_77
control,2,5.150632082213956,ego_ctrl_78
control,2,9.874957251,ego_ctrl_79
control,2,8.791211229527383,ego_ctrl_80
control,2,6.017322911159934,ego_ctrl_81
control,2,5.374756310963932,ego_ctrl_82
control,2,6.053347079525999,ego_ctrl_83
control,2,5.190597446596133,ego_ctrl_84
control,2,9.061957288,ego_ctrl_85
control,2,6.622675124539656,ego_ctrl_86
control,2,6.048239043233673,ego_ctrl_87
control,2,7.377990322865166,ego_ctrl_88
control,2,10.22654175,ego_ctrl_89
control,2,5.571705005398437,ego_ctrl_90
control,2,7.598588810313094,ego_ctrl_91
control,2,16.465330740338374,ego_ctrl_92
control,2,4.122874062324119,ego_ctrl_93
control,2,9.077530801,ego_ctrl_94
control,2,6.239088682371335,ego_ctrl_95
control,2,8.715905255735638,ego_ctrl_96
control,2,10.940912948233333,ego_ctrl_97
control,2,8.169079138947954,ego_ctrl_98
control,2,4.007855678047791,ego_ctrl_99
control,2,8.342029714138588,ego_ctrl_100
control,2,5.943308879992778,ego_ctrl_101
control,2,11.94365301582864,ego_ctrl_102
control,2,4.730209081316179,ego_ctrl_103
control,2,7.727250235301267,ego_ctrl_104
control,2,7.811746251124361,ego_ctrl_105
control,2,3.848404337885985,ego_ctrl_106
control,2,7.697043566887164,ego_ctrl_107
control,2,4.754509065499715,ego_ctrl_108
control,2,8.754491354884893,ego_ctrl_109
control,2,4.761620525980787,ego_ctrl_110
control,2,5.171648400647546,ego_ctrl_111
control,2,4.646356984334348,ego_ctrl_112
control,2,9.493062180054954,ego_ctrl_113
control,2,6.533538966582386,ego_ctrl_114
control,2,6.913855321,ego_ctrl_115
control,2,6.614178941846799,ego_ctrl_116
control,2,6.1967447624086915,ego_ctrl_117
control,2,7.385260551260654,ego_ctrl_118
control,2,12.074278626875348,ego_ctrl_119
control,2,5.829504379868187,ego_ctrl_120
control,2,7.662626859007485,ego_ctrl_121
control,2,7.671100138090844,ego_ctrl_122
control,2,5.6920433748332355,ego_ctrl_123
control,2,8.822555409,ego_ctrl_124
control,2,6.419176759883715,ego_ctrl_125
control,2,5.563781243603602,ego_ctrl_126
control,2,4.246411764511594,ego_ctrl_127
control,2,7.1102948598226146,ego_ctrl_128
control,2,7.719093139938904,ego_ctrl_129
control,2,5.007632011601475,ego_ctrl_130
control,2,7.253309790250613,ego_ctrl_131
control,2,7.387815143535898,ego_ctrl_132
control,2,4.305891874827076,ego_ctrl_133
control,2,8.954154566169349,ego_ctrl_134
control,2,6.096937629334775,ego_ctrl_135
control,2,4.274430221,ego_ctrl_136
control,2,6.774883199836548,ego_ctrl_137
control,2,4.696425796,ego_ctrl_138
control,2,5.833256379204372,ego_ctrl_139
control,2,3.608294121786761,ego_ctrl_140
control,2,10.235810504160764,ego_ctrl_141
control,2,9.755901952942322,ego_ctrl_142
control,2,6.4059474045411235,ego_ctrl_143
control,2,5.441639147478499,ego_ctrl_144
control,2,5.6831706113041385,ego_ctrl_145
control,2,4.287220332248836,ego_ctrl_146
control,2,6.852203943577911,ego_ctrl_147
control,2,4.632777778512137,ego_ctrl_148
control,2,11.28008344,ego_ctrl_149
control,2,5.7093342881007665,ego_ctrl_150
control,2,7.76895196,ego_ctrl_151
control,2,2.6290033036180422,ego_ctrl_152
control,2,4.970513972670397,ego_ctrl_153
control,2,0,ego_ctrl_154
control,2,3.911444078597488,ego_ctrl_155
control,2,3.5275664857760183,ego_ctrl_156
control,2,1.7663341733885258,ego_ctrl_157
control,2,4.554050857385899,ego_ctrl_158
control,2,12.57242677,ego_ctrl_159
control,2,3.727224540924084,ego_ctrl_160
control,2,6.617715215000473,ego_ctrl_161
control,2,3.039700442318916,ego_ctrl_162
control,2,8.350813840260006,ego_ctrl_163
control,2,8.683841972611566,ego_ctrl_164
control,2,3.6153540273697633,ego_ctrl_165
control,2,6.306509370487449,ego_ctrl_166
control,2,7.4370697143793905,ego_ctrl_167
control,2,4.300849893189241,ego_ctrl_168
control,2,10.134098242402954,ego_ctrl_169
control,2,10.777995868694436,ego_ctrl_170
control,2,7.949609001415153,ego_ctrl_171
control,2,5.1717488976922406,ego_ctrl_172
control,2,9.539690932996074,ego_ctrl_173
control,2,1.9691127450293096,ego_ctrl_174
control,2,6.090828234117097,ego_ctrl_175
control,2,4.625801547891834,ego_ctrl_176
control,2,8.095428349,ego_ctrl_177
control,2,4.357285383610336,ego_ctrl_178
control,2,4.903811602,ego_ctrl_179
control,2,5.857287948994628,ego_ctrl_180
treatment,2,8.144679762655418,ego_trt_1
treatment,2,8.430352732630919,ego_trt_2
treatment,2,7.187611464057259,ego_trt_3
treatment,2,5.444901650653389,ego_trt_4
treatment,2,6.869170470436711,ego_trt_5
treatment,2,10.71329529321138,ego_trt_6
treatment,2,5.817041739133327,ego_trt_7
treatment,2,8.316527719,ego_trt_8
treatment,2,10.270727194946147,ego_trt_9
treatment,2,8.253099615214023,ego_trt_10
treatment,2,10.262369574771755,ego_trt_11
treatment,2,2.9852939700153405,ego_trt_12
treatment,2,3.148536589254042,ego_trt_13
treatment,2,6.332648807097508,ego_trt_14
treatment,2,7.109734377081876,ego_trt_15
treatment,2,10.012345230863906,ego_trt_16
treatment,2,9.807945664291337,ego_trt_17
treatment,2,11.19851034543994,ego_trt_18
treatment,2,10.140695889322714,ego_trt_19
treatment,2,4.649322229900462,ego_trt_20
treatment,2,10.301643571733706,ego_trt_21
treatment,2,5.308100653963599,ego_trt_22
treatment,2,6.900065187,ego_trt_23
treatment,2,4.651451401859925,ego_trt_24
treatment,2,10.817441355149017,ego_trt_25
treatment,2,4.671082438001713,ego_trt_26
treatment,2,11.80730866,ego_trt_27
treatment,2,7.37711684,ego_trt_28
treatment,2,9.074717895500587,ego_trt_29
treatment,2,8.322205799264214,ego_trt_30
treatment,2,6.274232291827179,ego_trt_31
treatment,2,5.404279163821184,ego_trt_32
treatment,2,11.219834414057512,ego_trt_33
treatment,2,10.351007354140965,ego_trt_34
treatment,2,9.063465890855284,ego_trt_35
treatment,2,5.8441483553603675,ego_trt_36
treatment,2,5.0875495105933926,ego_trt_37
treatment,2,4.160867034,ego_trt_38
treatment,2,4.9005587796323145,ego_trt_39
treatment,2,7.424526966778088,ego_trt_40
treatment,2,5.334032167275027,ego_trt_41
treatment,2,4.512134119923698,ego_trt_42
treatment,2,6.810236838007912,ego_trt_43
treatment,2,4.183284567222136,ego_trt_44
treatment,2,5.671032506058101,ego_trt_45
treatment,2,8.932502735760739,ego_trt_46
treatment,2,5.282334746530099,ego_trt_47
treatment,2,7.228723447106723,ego_trt_48
treatment,2,6.188295044267381,ego_trt_49
treatment,2,7.079771596531218,ego_trt_50
treatment,2,6.781081529517334,ego_trt_51
treatment,2,9.404827604592164,ego_trt_52
treatment,2,4.691760761060436,ego_trt_53
treatment,2,7.952252919148003,ego_trt_54
treatment,2,3.972580107380008,ego_trt_55
treatment,2,3.4326235959326192,ego_trt_56
treatment,2,7.212236823770692,ego_trt_57
treatment,2,6.054422175655345,ego_trt_58
treatment,2,8.051773148,ego_trt_59
treatment,2,5.642112897764622,ego_trt_60
treatment,2,3.7848407687703567,ego_trt_61
treatment,2,5.668554945811923,ego_trt_62
treatment,2,7.639238127377936,ego_trt_63
treatment,2,5.605653609,ego_trt_64
treatment,2,9.065127341,ego_trt_65
treatment,2,11.103242223490666,ego_trt_66
treatment,2,7.584163918282517,ego_trt_67
treatment,2,8.296684990861067,ego_trt_68
treatment,2,4.648307314327557,ego_trt_69
treatment,2,4.848634831382814,ego_trt_70
treatment,2,4.867121390593166,ego_trt_71
treatment,2,9.179362515597184,ego_trt_72
treatment,2,9.300434351,ego_trt_73
treatment,2,6.417735059882467,ego_trt_74
treatment,2,11.431620077469542,ego_trt_75
treatment,2,7.956896602259686,ego_trt_76
treatment,2,20.9921074,ego_trt_77
treatment,2,10.695341911786858,ego_trt_78
treatment,2,7.865974252,ego_trt_79
treatment,2,7.717898728633452,ego_trt_80
treatment,2,9.086988364139962,ego_trt_81
treatment,2,8.089027740592291,ego_trt_82
treatment,2,12.335669954566944,ego_trt_83
treatment,2,2.944801519596047,ego_trt_84
treatment,2,8.287594676235184,ego_trt_85
treatment,2,6.187654058625522,ego_trt_86
treatment,2,7.981039819748473,ego_trt_87
treatment,2,4.4271805386095515,ego_trt_88
treatment,2,6.3361891975017794,ego_trt_89
treatment,2,6.953299218275308,ego_trt_90
treatment,2,6.633850441498851,ego_trt_91
treatment,2,6.356331131125927,ego_trt_92
treatment,2,6.742721812759146,ego_trt_93
treatment,2,8.055158495121203,ego_trt_94
treatment,2,7.737710257583517,ego_trt_95
treatment,2,8.488420593720605,ego_trt_96
treatment,2,10.810268855123656,ego_trt_97
treatment,2,8.962521416067823,ego_trt_98
treatment,2,6.480060422397522,ego_trt_99
treatment,2,9.321076735008814,ego_trt_100
treatment,2,6.978714132797908,ego_trt_101
treatment,2,11.167232872941632,ego_trt_102
treatment,2,9.506812856410695,ego_trt_103
treatment,2,4.867085369569423,ego_trt_104
treatment,2,6.687758165528377,ego_trt_105
treatment,2,6.085456530477143,ego_trt_106
treatment,2,5.077495576632815,ego_trt_107
treatment,2,7.171949098619693,ego_trt_108
treatment,2,9.110498985151736,ego_trt_109
treatment,2,7.358565034869394,ego_trt_110
treatment,2,8.930104644427995,ego_trt_111
treatment,2,8.645715540092763,ego_trt_112
treatment,2,2.9696966124826956,ego_trt_113
treatment,2,3.617066248960717,ego_trt_114
treatment,2,3.930345492,ego_trt_115
treatment,2,6.840659294103821,ego_trt_116
treatment,2,9.080452512951672,ego_trt_117
treatment,2,5.276135785668047,ego_trt_118
treatment,2,9.539772524315287,ego_trt_119
treatment,2,3.2919667549126155,ego_trt_120
treatment,2,4.224786591372906,ego_trt_121
treatment,2,4.578834675054048,ego_trt_122
treatment,2,3.3001700206370357,ego_trt_123
treatment,2,7.185479578836002,ego_trt_124
treatment,2,6.205167843929058,ego_trt_125
treatment,2,7.374250593418299,ego_trt_126
treatment,2,10.241901125080696,ego_trt_127
treatment,2,7.353893475934105,ego_trt_128
treatment,2,3.6504865738515546,ego_trt_129
treatment,2,9.014878569953362,ego_trt_130
treatment,2,9.160989702843374,ego_trt_131
treatment,2,7.032975167419078,ego_trt_132
treatment,2,5.9971580466793775,ego_trt_133
treatment,2,3.1663247682682636,ego_trt_134
treatment,2,6.287277686796614,ego_trt_135
treatment,2,4.979359553438418,ego_trt_136
treatment,2,6.690264044709383,ego_trt_137
treatment,2,5.614968888747253,ego_trt_138
treatment,2,0,ego_trt_139
treatment,2,12.10245587975924,ego_trt_140
treatment,2,7.013749385,ego_trt_141
treatment,2,7.315190078475823,ego_trt_142
treatment,2,5.540643226165489,ego_trt_143
treatment,2,2.1442670334312126,ego_trt_144
treatment,2,5.722504425930901,ego_trt_145
treatment,2,13.368001613233014,ego_trt_146
treatment,2,10.477375180743508,ego_trt_147
treatment,2,6.847070471160233,ego_trt_148
treatment,2,8.591715339,ego_trt_149
treatment,2,3.955247177326404,ego_trt_150
treatment,2,8.55483157,ego_trt_151
treatment,2,4.327689762,ego_trt_152
treatment,2,8.218900067836941,ego_trt_153
treatment,2,6.963916224875792,ego_trt_154
treatment,2,7.716443751233019,ego_trt_155
treatment,2,5.276301670553039,ego_trt_156
treatment,2,3.6391105510745687,ego_trt_157
treatment,2,1.8577716904210988,ego_trt_158
treatment,2,6.85662032,ego_trt_159
treatment,2,8.269261980458467,ego_trt_160
treatment,2,5.174960794752493,ego_trt_161
treatment,2,1.8803428826356352,ego_trt_162
treatment,2,8.264800180148326,ego_trt_163
treatment,2,10.160838884554838,ego_trt_164
treatment,2,4.990970743820403,ego_trt_165
treatment,2,5.794203727481838,ego_trt_166
treatment,2,8.031493834108854,ego_trt_167
treatment,2,5.520108482494783,ego_trt_168
treatment,2,6.610609467875154,ego_trt_169
treatment,2,8.006528011743033,ego_trt_170
treatment,2,4.639182104229428,ego_trt_171
treatment,2,7.160017258980935,ego_trt_172
treatment,2,5.196595943123007,ego_trt_173
treatment,2,4.990970743820403,ego_trt_174
treatment,2,8.648873301638043,ego_trt_175
treatment,2,6.677101700754996,ego_trt_176
treatment,2,8.643710104,ego_trt_177
treatment,2,5.596196683,ego_trt_178
treatment,2,2.871906911911058,ego_trt_179
treatment,2,5.126256578225346,ego_trt_180
control,3,4.617125776482045,ego_ctrl_1
control,3,3.659456500034693,ego_ctrl_2
control,3,3.6026912765956003,ego_ctrl_3
control,3,4.859833823937327,ego_ctrl_4
control,3,5.2858046617893475,ego_ctrl_5
control,3,2.8794153411797243,ego_ctrl_6
control,3,4.316212771056998,ego_ctrl_7
control,3,3.264839154170419,ego_ctrl_8
control,3,2.4730851270100764,ego_ctrl_9
control,3,1,ego_ctrl_10
control,3,7.293229507000657,ego_ctrl_11
control,3,4.144976293,ego_ctrl_12
control,3,2.806872957008956,ego_ctrl_13
control,3,5.312064983898324,ego_ctrl_14
control,3,4.486964979802947,ego_ctrl_15
control,3,4.213871563830731,ego_ctrl_16
control,3,3.519368142809596,ego_ctrl_17
control,3,2.1284615624498975,ego_ctrl_18
control,3,5.781123295500175,ego_ctrl_19
control,3,2.516131819020905,ego_ctrl_20
control,3,6.688486899044706,ego_ctrl_21
control,3,5.452304272557393,ego_ctrl_22
control,3,4.367836171268206,ego_ctrl_23
control,3,6.323325974255006,ego_ctrl_24
control,3,6.133399626953506,ego_ctrl_25
control,3,4.393104422363111,ego_ctrl_26
control,3,9.933587238,ego_ctrl_27
control,3,4.974192923925851,ego_ctrl_28
control,3,4.916723159595016,ego_ctrl_29
control,3,5.250432390748647,ego_ctrl_30
control,3,8.142110269,ego_ctrl_31
control,3,5.600972219174547,ego_ctrl_32
control,3,4.018757066553299,ego_ctrl_33
control,3,3.6403485517802463,ego_ctrl_34
control,3,5.808908335095537,ego_ctrl_35
control,3,3.946922365266015,ego_ctrl_36
control,3,3.1962668713058893,ego_ctrl_37
control,3,6.739330981813868,ego_ctrl_38
control,3,5.087605047770301,ego_ctrl_39
control,3,6.7825606340131355,ego_ctrl_40
control,3,3.742183279256642,ego_ctrl_41
control,3,11.378548288861843,ego_ctrl_42
control,3,6.490820551448604,ego_ctrl_43
control,3,11.62915361144477,ego_ctrl_44
control,3,13.059353130107436,ego_ctrl_45
control,3,8.259645043314887,ego_ctrl_46
control,3,8.773181537,ego_ctrl_47
control,3,6.0071569470911985,ego_ctrl_48
control,3,5.0584529518057755,ego_ctrl_49
control,3,5.246852887162708,ego_ctrl_50
control,3,6.963119166388063,ego_ctrl_51
control,3,5.181793041992519,ego_ctrl_52
control,3,5.172608660748143,ego_ctrl_53
control,3,6.099153264562183,ego_ctrl_54
control,3,6.0430762968267135,ego_ctrl_55
control,3,5.1871900001321265,ego_ctrl_56
control,3,6.3993628418357575,ego_ctrl_57
control,3,1.8749950293766648,ego_ctrl_58
control,3,8.622489971,ego_ctrl_59
control,3,6.014834654481357,ego_ctrl_60
control,3,9.779561671382544,ego_ctrl_61
control,3,6.567031464434809,ego_ctrl_62
control,3,7.379216640453926,ego_ctrl_63
control,3,4.160782756322131,ego_ctrl_64
control,3,5.233864025024206,ego_ctrl_65
control,3,9.534226746472012,ego_ctrl_66
control,3,8.594541836505583,ego_ctrl_67
control,3,6.899728461847963,ego_ctrl_68
control,3,7.387039253112413,ego_ctrl_69
control,3,4.164801325330837,ego_ctrl_70
control,3,13.124263638759638,ego_ctrl_71
control,3,1.820586447892836,ego_ctrl_72
control,3,8.222372030941736,ego_ctrl_73
control,3,13.354733556416743,ego_ctrl_74
control,3,8.975503767800925,ego_ctrl_75
control,3,9.847710305062778,ego_ctrl_76
control,3,6.0380097954715195,ego_ctrl_77
control,3,6.511812875963891,ego_ctrl_78
control,3,7.1454720479457805,ego_ctrl_79
control,3,5.781688137088262,ego_ctrl_80
control,3,7.292926829785959,ego_ctrl_81
control,3,7.346211750366716,ego_ctrl_82
control,3,6.334402804112233,ego_ctrl_83
control,3,6.177556922792026,ego_ctrl_84
control,3,5.783917723038904,ego_ctrl_85
control,3,2.853089419067166,ego_ctrl_86
control,3,5.687441051,ego_ctrl_87
control,3,8.402829019380867,ego_ctrl_88
control,3,8.383515345,ego_ctrl_89
control,3,3.5402838844844013,ego_ctrl_90
control,3,6.489341872881818,ego_ctrl_91
control,3,12.720806829262504,ego_ctrl_92
control,3,1,ego_ctrl_93
control,3,4.833886798773769,ego_ctrl_94
control,3,4.553280769,ego_ctrl_95
control,3,8.573575549931189,ego_ctrl_96
control,3,7.004246813667553,ego_ctrl_97
control,3,6.2116631830362055,ego_ctrl_98
control,3,5.639512155866718,ego_ctrl_99
control,3,7.971783029780648,ego_ctrl_100
control,3,5.039405246,ego_ctrl_101
control,3,10.910402685685265,ego_ctrl_102
control,3,5.317141326434901,ego_ctrl_103
control,3,6.476444883635612,ego_ctrl_104
control,3,7.307713756042803,ego_ctrl_105
control,3,5.10845346,ego_ctrl_106
control,3,6.874979773,ego_ctrl_107
control,3,5.657291950690144,ego_ctrl_108
control,3,10.10977293448503,ego_ctrl_109
control,3,5.310334797960969,ego_ctrl_110
control,3,8.212216978993048,ego_ctrl_111
control,3,2.694714125365042,ego_ctrl_112
control,3,14.792127197067842,ego_ctrl_113
control,3,4.155397946354936,ego_ctrl_114
control,3,5.648162770701466,ego_ctrl_115
control,3,5.044599622056697,ego_ctrl_116
control,3,3.637188643504867,ego_ctrl_117
control,3,6.133933436268233,ego_ctrl_118
control,3,5.990292108316057,ego_ctrl_119
control,3,6.208211551088855,ego_ctrl_120
control,3,6.945278544653006,ego_ctrl_121
