marginal_distinct_cnt,condition,round,network_size,id
2,treatment,5,5,ego_trt_167
3,treatment,5,6,ego_trt_168
1,treatment,5,7,ego_trt_169
0,treatment,5,8,ego_trt_170
1,treatment,5,9,ego_trt_171
3,treatment,5,10,ego_trt_172
2,treatment,5,11,ego_trt_173
0,treatment,5,12,ego_trt_174
1,treatment,5,13,ego_trt_175
0,treatment,5,14,ego_trt_176
0,treatment,5,15,ego_trt_177
1,treatment,5,16,ego_trt_178
1,treatment,5,17,ego_trt_179
3,treatment,5,18,ego_trt_180
2,control,2,1,ego_ctrl_1
2,control,2,2,ego_ctrl_2
2,control,2,3,ego_ctrl_3
1,control,2,4,ego_ctrl_4
1,control,2,5,ego_ctrl_5
0,control,2,6,ego_ctrl_6
1,control,2,7,ego_ctrl_7
2,control,2,8,ego_ctrl_8
2,control,2,9,ego_ctrl_9
0,control,2,10,ego_ctrl_10
1,control,2,11,ego_ctrl_11
1,control,2,12,ego_ctrl_12
0,control,2,13,ego_ctrl_13
0,control,2,14,ego_ctrl_14
1,control,2,15,ego_ctrl_15
0,control,2,16,ego_ctrl_16
2,control,2,17,ego_ctrl_17
1,control,2,18,ego_ctrl_18
2,control,3,1,ego_ctrl_1
2,control,3,2,ego_ctrl_2
1,control,3,3,ego_ctrl_3
3,control,3,4,ego_ctrl_4
2,control,3,5,ego_ctrl_5
0,control,3,6,ego_ctrl_6
1,control,3,7,ego_ctrl_7
1,control,3,8,ego_ctrl_8
0,control,3,9,ego_ctrl_9
0,control,3,10,ego_ctrl_10
5,control,3,11,ego_ctrl_11
1,control,3,12,ego_ctrl_12
1,control,3,13,ego_ctrl_13
1,control,3,14,ego_ctrl_14
2,control,3,15,ego_ctrl_15
2,control,3,16,ego_ctrl_16
1,control,3,17,ego_ctrl_17
0,control,3,18,ego_ctrl_18
2,control,4,1,ego_ctrl_1
2,control,4,2,ego_ctrl_2
1,control,4,3,ego_ctrl_3
2,control,4,4,ego_ctrl_4
2,control,4,5,ego_ctrl_5
1,control,4,6,ego_ctrl_6
0,control,4,7,ego_ctrl_7
1,control,4,8,ego_ctrl_8
0,control,4,9,ego_ctrl_9
1,control,4,10,ego_ctrl_10
3,control,4,11,ego_ctrl_11
1,control,4,12,ego_ctrl_12
2,control,4,13,ego_ctrl_13
1,control,4,14,ego_ctrl_14
0,control,4,15,ego_ctrl_15
3,control,4,16,ego_ctrl_16
0,control,4,17,ego_ctrl_17
0,control,4,18,ego_ctrl_18
2,control,5,1,ego_ctrl_1
2,control,5,2,ego_ctrl_2
2,control,5,3,ego_ctrl_3
1,control,5,4,ego_ctrl_4
2,control,5,5,ego_ctrl_5
2,control,5,6,ego_ctrl_6
1,control,5,7,ego_ctrl_7
2,control,5,8,ego_ctrl_8
1,control,5,9,ego_ctrl_9
2,control,5,10,ego_ctrl_10
1,control,5,11,ego_ctrl_11
0,control,5,12,ego_ctrl_12
1,control,5,13,ego_ctrl_13
1,control,5,14,ego_ctrl_14
0,control,5,15,ego_ctrl_15
1,control,5,16,ego_ctrl_16
2,control,5,17,ego_ctrl_17
1,control,5,18,ego_ctrl_18
3,control,2,1,ego_ctrl_19
5,control,2,2,ego_ctrl_20
4,control,2,3,ego_ctrl_21
4,control,2,4,ego_ctrl_22
3,control,2,5,ego_ctrl_23
3,control,2,6,ego_ctrl_24
2,control,2,7,ego_ctrl_25
3,control,2,8,ego_ctrl_26
0,control,2,9,ego_ctrl_27
2,control,2,10,ego_ctrl_28
1,control,2,11,ego_ctrl_29
0,control,2,12,ego_ctrl_30
3,control,2,13,ego_ctrl_31
4,control,2,14,ego_ctrl_32
2,control,2,15,ego_ctrl_33
2,control,2,16,ego_ctrl_34
4,control,2,17,ego_ctrl_35
2,control,2,18,ego_ctrl_36
4,control,3,1,ego_ctrl_19
2,control,3,2,ego_ctrl_20
4,control,3,3,ego_ctrl_21
3,control,3,4,ego_ctrl_22
2,control,3,5,ego_ctrl_23
3,control,3,6,ego_ctrl_24
3,control,3,7,ego_ctrl_25
1,control,3,8,ego_ctrl_26
3,control,3,9,ego_ctrl_27
4,control,3,10,ego_ctrl_28
3,control,3,11,ego_ctrl_29
3,control,3,12,ego_ctrl_30
3,control,3,13,ego_ctrl_31
2,control,3,14,ego_ctrl_32
1,control,3,15,ego_ctrl_33
4,control,3,16,ego_ctrl_34
3,control,3,17,ego_ctrl_35
1,control,3,18,ego_ctrl_36
4,control,4,1,ego_ctrl_19
3,control,4,2,ego_ctrl_20
3,control,4,3,ego_ctrl_21
3,control,4,4,ego_ctrl_22
3,control,4,5,ego_ctrl_23
4,control,4,6,ego_ctrl_24
3,control,4,7,ego_ctrl_25
0,control,4,8,ego_ctrl_26
3,control,4,9,ego_ctrl_27
2,control,4,10,ego_ctrl_28
2,control,4,11,ego_ctrl_29
1,control,4,12,ego_ctrl_30
3,control,4,13,ego_ctrl_31
2,control,4,14,ego_ctrl_32
3,control,4,15,ego_ctrl_33
1,control,4,16,ego_ctrl_34
4,control,4,17,ego_ctrl_35
1,control,4,18,ego_ctrl_36
4,control,5,1,ego_ctrl_19
4,control,5,2,ego_ctrl_20
3,control,5,3,ego_ctrl_21
4,control,5,4,ego_ctrl_22
2,control,5,5,ego_ctrl_23
2,control,5,6,ego_ctrl_24
3,control,5,7,ego_ctrl_25
1,control,5,8,ego_ctrl_26
2,control,5,9,ego_ctrl_27
2,control,5,10,ego_ctrl_28
3,control,5,11,ego_ctrl_29
1,control,5,12,ego_ctrl_30
2,control,5,13,ego_ctrl_31
2,control,5,14,ego_ctrl_32
3,control,5,15,ego_ctrl_33
2,control,5,16,ego_ctrl_34
2,control,5,17,ego_ctrl_35
1,control,5,18,ego_ctrl_36
4,control,2,1,ego_ctrl_37
4,control,2,2,ego_ctrl_38
3,control,2,3,ego_ctrl_39
4,control,2,4,ego_ctrl_40
3,control,2,5,ego_ctrl_41
4,control,2,6,ego_ctrl_42
3,control,2,7,ego_ctrl_43
3,control,2,8,ego_ctrl_44
2,control,2,9,ego_ctrl_45
4,control,2,10,ego_ctrl_46
2,control,2,11,ego_ctrl_47
1,control,2,12,ego_ctrl_48
1,control,2,13,ego_ctrl_49
2,control,2,14,ego_ctrl_50
3,control,2,15,ego_ctrl_51
2,control,2,16,ego_ctrl_52
1,control,2,17,ego_ctrl_53
3,control,2,18,ego_ctrl_54
3,control,3,1,ego_ctrl_37
4,control,3,2,ego_ctrl_38
1,control,3,3,ego_ctrl_39
2,control,3,4,ego_ctrl_40
2,control,3,5,ego_ctrl_41
3,control,3,6,ego_ctrl_42
1,control,3,7,ego_ctrl_43
2,control,3,8,ego_ctrl_44
4,control,3,9,ego_ctrl_45
4,control,3,10,ego_ctrl_46
3,control,3,11,ego_ctrl_47
1,control,3,12,ego_ctrl_48
2,control,3,13,ego_ctrl_49
0,control,3,14,ego_ctrl_50
2,control,3,15,ego_ctrl_51
4,control,3,16,ego_ctrl_52
0,control,3,17,ego_ctrl_53
2,control,3,18,ego_ctrl_54
5,control,4,1,ego_ctrl_37
4,control,4,2,ego_ctrl_38
2,control,4,3,ego_ctrl_39
3,control,4,4,ego_ctrl_40
5,control,4,5,ego_ctrl_41
2,control,4,6,ego_ctrl_42
3,control,4,7,ego_ctrl_43
2,control,4,8,ego_ctrl_44
2,control,4,9,ego_ctrl_45
3,control,4,10,ego_ctrl_46
5,control,4,11,ego_ctrl_47
2,control,4,12,ego_ctrl_48
3,control,4,13,ego_ctrl_49
3,control,4,14,ego_ctrl_50
1,control,4,15,ego_ctrl_51
2,control,4,16,ego_ctrl_52
1,control,4,17,ego_ctrl_53
1,control,4,18,ego_ctrl_54
3,control,5,1,ego_ctrl_37
4,control,5,2,ego_ctrl_38
2,control,5,3,ego_ctrl_39
1,control,5,4,ego_ctrl_40
5,control,5,5,ego_ctrl_41
2,control,5,6,ego_ctrl_42
1,control,5,7,ego_ctrl_43
1,control,5,8,ego_ctrl_44
2,control,5,9,ego_ctrl_45
1,control,5,10,ego_ctrl_46
3,control,5,11,ego_ctrl_47
2,control,5,12,ego_ctrl_48
0,control,5,13,ego_ctrl_49
3,control,5,14,ego_ctrl_50
3,control,5,15,ego_ctrl_51
3,control,5,16,ego_ctrl_52
0,control,5,17,ego_ctrl_53
2,control,5,18,ego_ctrl_54
6,control,2,1,ego_ctrl_55
4,control,2,2,ego_ctrl_56
6,control,2,3,ego_ctrl_57
1,control,2,4,ego_ctrl_58
3,control,2,5,ego_ctrl_59
6,control,2,6,ego_ctrl_60
4,control,2,7,ego_ctrl_61
2,control,2,8,ego_ctrl_62
3,control,2,9,ego_ctrl_63
3,control,2,10,ego_ctrl_64
5,control,2,11,ego_ctrl_65
3,control,2,12,ego_ctrl_66
3,control,2,13,ego_ctrl_67
3,control,2,14,ego_ctrl_68
1,control,2,15,ego_ctrl_69
1,control,2,16,ego_ctrl_70
1,control,2,17,ego_ctrl_71
4,control,2,18,ego_ctrl_72
6,control,3,1,ego_ctrl_55
3,control,3,2,ego_ctrl_56
3,control,3,3,ego_ctrl_57
1,control,3,4,ego_ctrl_58
3,control,3,5,ego_ctrl_59
3,control,3,6,ego_ctrl_60
2,control,3,7,ego_ctrl_61
2,control,3,8,ego_ctrl_62
2,control,3,9,ego_ctrl_63
2,control,3,10,ego_ctrl_64
2,control,3,11,ego_ctrl_65
0,control,3,12,ego_ctrl_66
0,control,3,13,ego_ctrl_67
2,control,3,14,ego_ctrl_68
0,control,3,15,ego_ctrl_69
1,control,3,16,ego_ctrl_70
4,control,3,17,ego_ctrl_71
2,control,3,18,ego_ctrl_72
6,control,4,1,ego_ctrl_55
3,control,4,2,ego_ctrl_56
5,control,4,3,ego_ctrl_57
3,control,4,4,ego_ctrl_58
4,control,4,5,ego_ctrl_59
3,control,4,6,ego_ctrl_60
4,control,4,7,ego_ctrl_61
6,control,4,8,ego_ctrl_62
5,control,4,9,ego_ctrl_63
1,control,4,10,ego_ctrl_64
5,control,4,11,ego_ctrl_65
3,control,4,12,ego_ctrl_66
2,control,4,13,ego_ctrl_67
4,control,4,14,ego_ctrl_68
1,control,4,15,ego_ctrl_69
2,control,4,16,ego_ctrl_70
4,control,4,17,ego_ctrl_71
2,control,4,18,ego_ctrl_72
5,control,5,1,ego_ctrl_55
3,control,5,2,ego_ctrl_56
2,control,5,3,ego_ctrl_57
2,control,5,4,ego_ctrl_58
3,control,5,5,ego_ctrl_59
3,control,5,6,ego_ctrl_60
2,control,5,7,ego_ctrl_61
4,control,5,8,ego_ctrl_62
4,control,5,9,ego_ctrl_63
1,control,5,10,ego_ctrl_64
3,control,5,11,ego_ctrl_65
1,control,5,12,ego_ctrl_66
3,control,5,13,ego_ctrl_67
2,control,5,14,ego_ctrl_68
2,control,5,15,ego_ctrl_69
4,control,5,16,ego_ctrl_70
3,control,5,17,ego_ctrl_71
0,control,5,18,ego_ctrl_72
4,control,2,1,ego_ctrl_73
5,control,2,2,ego_ctrl_74
2,control,2,3,ego_ctrl_75
4,control,2,4,ego_ctrl_76
3,control,2,5,ego_ctrl_77
3,control,2,6,ego_ctrl_78
2,control,2,7,ego_ctrl_79
2,control,2,8,ego_ctrl_80
3,control,2,9,ego_ctrl_81
2,control,2,10,ego_ctrl_82
3,control,2,11,ego_ctrl_83
4,control,2,12,ego_ctrl_84
0,control,2,13,ego_ctrl_85
3,control,2,14,ego_ctrl_86
3,control,2,15,ego_ctrl_87
3,control,2,16,ego_ctrl_88
2,control,2,17,ego_ctrl_89
2,control,2,18,ego_ctrl_90
4,control,3,1,ego_ctrl_73
4,control,3,2,ego_ctrl_74
5,control,3,3,ego_ctrl_75
6,control,3,4,ego_ctrl_76
3,control,3,5,ego_ctrl_77
2,control,3,6,ego_ctrl_78
3,control,3,7,ego_ctrl_79
3,control,3,8,ego_ctrl_80
1,control,3,9,ego_ctrl_81
3,control,3,10,ego_ctrl_82
2,control,3,11,ego_ctrl_83
2,control,3,12,ego_ctrl_84
3,control,3,13,ego_ctrl_85
1,control,3,14,ego_ctrl_86
3,control,3,15,ego_ctrl_87
0,control,3,16,ego_ctrl_88
2,control,3,17,ego_ctrl_89
1,control,3,18,ego_ctrl_90
4,control,4,1,ego_ctrl_73
6,control,4,2,ego_ctrl_74
3,control,4,3,ego_ctrl_75
2,control,4,4,ego_ctrl_76
2,control,4,5,ego_ctrl_77
5,control,4,6,ego_ctrl_78
3,control,4,7,ego_ctrl_79
3,control,4,8,ego_ctrl_80
2,control,4,9,ego_ctrl_81
5,control,4,10,ego_ctrl_82
2,control,4,11,ego_ctrl_83
4,control,4,12,ego_ctrl_84
2,control,4,13,ego_ctrl_85
3,control,4,14,ego_ctrl_86
2,control,4,15,ego_ctrl_87
1,control,4,16,ego_ctrl_88
5,control,4,17,ego_ctrl_89
3,control,4,18,ego_ctrl_90
5,control,5,1,ego_ctrl_73
6,control,5,2,ego_ctrl_74
4,control,5,3,ego_ctrl_75
3,control,5,4,ego_ctrl_76
3,control,5,5,ego_ctrl_77
3,control,5,6,ego_ctrl_78
3,control,5,7,ego_ctrl_79
2,control,5,8,ego_ctrl_80
3,control,5,9,ego_ctrl_81
4,control,5,10,ego_ctrl_82
2,control,5,11,ego_ctrl_83
2,control,5,12,ego_ctrl_84
1,control,5,13,ego_ctrl_85
1,control,5,14,ego_ctrl_86
1,control,5,15,ego_ctrl_87
3,control,5,16,ego_ctrl_88
5,control,5,17,ego_ctrl_89
1,control,5,18,ego_ctrl_90
4,control,2,1,ego_ctrl_91
5,control,2,2,ego_ctrl_92
3,control,2,3,ego_ctrl_93
4,control,2,4,ego_ctrl_94
3,control,2,5,ego_ctrl_95
2,control,2,6,ego_ctrl_96
6,control,2,7,ego_ctrl_97
4,control,2,8,ego_ctrl_98
2,control,2,9,ego_ctrl_99
3,control,2,10,ego_ctrl_100
1,control,2,11,ego_ctrl_101
4,control,2,12,ego_ctrl_102
1,control,2,13,ego_ctrl_103
2,control,2,14,ego_ctrl_104
2,control,2,15,ego_ctrl_105
1,control,2,16,ego_ctrl_106
2,control,2,17,ego_ctrl_107
1,control,2,18,ego_ctrl_108
4,control,3,1,ego_ctrl_91
2,control,3,2,ego_ctrl_92
1,control,3,3,ego_ctrl_93
3,control,3,4,ego_ctrl_94
4,control,3,5,ego_ctrl_95
4,control,3,6,ego_ctrl_96
5,control,3,7,ego_ctrl_97
3,control,3,8,ego_ctrl_98
4,control,3,9,ego_ctrl_99
3,control,3,10,ego_ctrl_100
1,control,3,11,ego_ctrl_101
2,control,3,12,ego_ctrl_102
3,control,3,13,ego_ctrl_103
2,control,3,14,ego_ctrl_104
1,control,3,15,ego_ctrl_105
0,control,3,16,ego_ctrl_106
1,control,3,17,ego_ctrl_107
2,control,3,18,ego_ctrl_108
4,control,4,1,ego_ctrl_91
3,control,4,2,ego_ctrl_92
4,control,4,3,ego_ctrl_93
3,control,4,4,ego_ctrl_94
4,control,4,5,ego_ctrl_95
3,control,4,6,ego_ctrl_96
5,control,4,7,ego_ctrl_97
2,control,4,8,ego_ctrl_98
2,control,4,9,ego_ctrl_99
6,control,4,10,ego_ctrl_100
1,control,4,11,ego_ctrl_101
3,control,4,12,ego_ctrl_102
2,control,4,13,ego_ctrl_103
2,control,4,14,ego_ctrl_104
4,control,4,15,ego_ctrl_105
3,control,4,16,ego_ctrl_106
3,control,4,17,ego_ctrl_107
3,control,4,18,ego_ctrl_108
5,control,5,1,ego_ctrl_91
0,control,5,2,ego_ctrl_92
3,control,5,3,ego_ctrl_93
4,control,5,4,ego_ctrl_94
4,control,5,5,ego_ctrl_95
4,control,5,6,ego_ctrl_96
3,control,5,7,ego_ctrl_97
2,control,5,8,ego_ctrl_98
1,control,5,9,ego_ctrl_99
3,control,5,10,ego_ctrl_100
2,control,5,11,ego_ctrl_101
2,control,5,12,ego_ctrl_102
0,control,5,13,ego_ctrl_103
4,control,5,14,ego_ctrl_104
2,control,5,15,ego_ctrl_105
2,control,5,16,ego_ctrl_106
0,control,5,17,ego_ctrl_107
0,control,5,18,ego_ctrl_108
6,control,2,1,ego_ctrl_109
4,control,2,2,ego_ctrl_110
3,control,2,3,ego_ctrl_111
4,control,2,4,ego_ctrl_112
4,control,2,5,ego_ctrl_113
2,control,2,6,ego_ctrl_114
3,control,2,7,ego_ctrl_115
4,control,2,8,ego_ctrl_116
2,control,2,9,ego_ctrl_117
0,control,2,10,ego_ctrl_118
2,control,2,11,ego_ctrl_119
2,control,2,12,ego_ctrl_120
1,control,2,13,ego_ctrl_121
1,control,2,14,ego_ctrl_122
2,control,2,15,ego_ctrl_123
2,control,2,16,ego_ctrl_124
1,control,2,17,ego_ctrl_125
3,control,2,18,ego_ctrl_126
6,control,3,1,ego_ctrl_109
3,control,3,2,ego_ctrl_110
4,control,3,3,ego_ctrl_111
2,control,3,4,ego_ctrl_112
4,control,3,5,ego_ctrl_113
3,control,3,6,ego_ctrl_114
3,control,3,7,ego_ctrl_115
4,control,3,8,ego_ctrl_116
1,control,3,9,ego_ctrl_117
3,control,3,10,ego_ctrl_118
2,control,3,11,ego_ctrl_119
2,control,3,12,ego_ctrl_120
1,control,3,13,ego_ctrl_121
0,control,3,14,ego_ctrl_122
1,control,3,15,ego_ctrl_123
0,control,3,16,ego_ctrl_124
3,control,3,17,ego_ctrl_125
2,control,3,18,ego_ctrl_126
6,control,4,1,ego_ctrl_109
5,control,4,2,ego_ctrl_110
6,control,4,3,ego_ctrl_111
0,control,4,4,ego_ctrl_112
6,control,4,5,ego_ctrl_113
5,control,4,6,ego_ctrl_114
3,control,4,7,ego_ctrl_115
4,control,4,8,ego_ctrl_116
2,control,4,9,ego_ctrl_117
2,control,4,10,ego_ctrl_118
1,control,4,11,ego_ctrl_119
3,control,4,12,ego_ctrl_120
2,control,4,13,ego_ctrl_121
4,control,4,14,ego_ctrl_122
4,control,4,15,ego_ctrl_123
1,control,4,16,ego_ctrl_124
1,control,4,17,ego_ctrl_125
1,control,4,18,ego_ctrl_126
6,control,5,1,ego_ctrl_109
4,control,5,2,ego_ctrl_110
4,control,5,3,ego_ctrl_111
3,control,5,4,ego_ctrl_112
6,control,5,5,ego_ctrl_113
4,control,5,6,ego_ctrl_114
2,control,5,7,ego_ctrl_115
2,control,5,8,ego_ctrl_116
2,control,5,9,ego_ctrl_117
2,control,5,10,ego_ctrl_118
2,control,5,11,ego_ctrl_119
1,control,5,12,ego_ctrl_120
0,control,5,13,ego_ctrl_121
2,control,5,14,ego_ctrl_122
2,control,5,15,ego_ctrl_123
1,control,5,16,ego_ctrl_124
1,control,5,17,ego_ctrl_125
3,control,5,18,ego_ctrl_126
4,control,2,1,ego_ctrl_127
4,control,2,2,ego_ctrl_128
3,control,2,3,ego_ctrl_129
4,control,2,4,ego_ctrl_130
3,control,2,5,ego_ctrl_131
4,control,2,6,ego_ctrl_132
2,control,2,7,ego_ctrl_133
5,control,2,8,ego_ctrl_134
1,control,2,9,ego_ctrl_135
2,control,2,10,ego_ctrl_136
1,control,2,11,ego_ctrl_137
0,control,2,12,ego_ctrl_138
2,control,2,13,ego_ctrl_139
1,control,2,14,ego_ctrl_140
3,control,2,15,ego_ctrl_141
3,control,2,16,ego_ctrl_142
2,control,2,17,ego_ctrl_143
1,control,2,18,ego_ctrl_144
4,control,3,1,ego_ctrl_127
3,control,3,2,ego_ctrl_128
3,control,3,3,ego_ctrl_129
4,control,3,4,ego_ctrl_130
4,control,3,5,ego_ctrl_131
1,control,3,6,ego_ctrl_132
1,control,3,7,ego_ctrl_133
4,control,3,8,ego_ctrl_134
3,control,3,9,ego_ctrl_135
3,control,3,10,ego_ctrl_136
4,control,3,11,ego_ctrl_137
2,control,3,12,ego_ctrl_138
1,control,3,13,ego_ctrl_139
1,control,3,14,ego_ctrl_140
3,control,3,15,ego_ctrl_141
1,control,3,16,ego_ctrl_142
2,control,3,17,ego_ctrl_143
1,control,3,18,ego_ctrl_144
5,control,4,1,ego_ctrl_127
3,control,4,2,ego_ctrl_128
3,control,4,3,ego_ctrl_129
6,control,4,4,ego_ctrl_130
3,control,4,5,ego_ctrl_131
1,control,4,6,ego_ctrl_132
1,control,4,7,ego_ctrl_133
6,control,4,8,ego_ctrl_134
3,control,4,9,ego_ctrl_135
3,control,4,10,ego_ctrl_136
3,control,4,11,ego_ctrl_137
3,control,4,12,ego_ctrl_138
1,control,4,13,ego_ctrl_139
2,control,4,14,ego_ctrl_140
4,control,4,15,ego_ctrl_141
0,control,4,16,ego_ctrl_142
2,control,4,17,ego_ctrl_143
3,control,4,18,ego_ctrl_144
4,control,5,1,ego_ctrl_127
3,control,5,2,ego_ctrl_128
4,control,5,3,ego_ctrl_129
4,control,5,4,ego_ctrl_130
2,control,5,5,ego_ctrl_131
4,control,5,6,ego_ctrl_132
2,control,5,7,ego_ctrl_133
4,control,5,8,ego_ctrl_134
2,control,5,9,ego_ctrl_135
4,control,5,10,ego_ctrl_136
1,control,5,11,ego_ctrl_137
1,control,5,12,ego_ctrl_138
4,control,5,13,ego_ctrl_139
0,control,5,14,ego_ctrl_140
1,control,5,15,ego_ctrl_141
0,control,5,16,ego_ctrl_142
0,control,5,17,ego_ctrl_143
3,control,5,18,ego_ctrl_144
5,control,2,1,ego_ctrl_145
2,control,2,2,ego_ctrl_146
4,control,2,3,ego_ctrl_147
2,control,2,4,ego_ctrl_148
3,control,2,5,ego_ctrl_149
3,control,2,6,ego_ctrl_150
2,control,2,7,ego_ctrl_151
2,control,2,8,ego_ctrl_152
4,control,2,9,ego_ctrl_153
0,control,2,10,ego_ctrl_154
3,control,2,11,ego_ctrl_155
1,control,2,12,ego_ctrl_156
1,control,2,13,ego_ctrl_157
1,control,2,14,ego_ctrl_158
5,control,2,15,ego_ctrl_159
2,control,2,16,ego_ctrl_160
2,control,2,17,ego_ctrl_161
1,control,2,18,ego_ctrl_162
5,control,3,1,ego_ctrl_145
4,control,3,2,ego_ctrl_146
3,control,3,3,ego_ctrl_147
2,control,3,4,ego_ctrl_148
4,control,3,5,ego_ctrl_149
3,control,3,6,ego_ctrl_150
2,control,3,7,ego_ctrl_151
0,control,3,8,ego_ctrl_152
3,control,3,9,ego_ctrl_153
1,control,3,10,ego_ctrl_154
0,control,3,11,ego_ctrl_155
1,control,3,12,ego_ctrl_156
1,control,3,13,ego_ctrl_157
2,control,3,14,ego_ctrl_158
5,control,3,15,ego_ctrl_159
2,control,3,16,ego_ctrl_160
1,control,3,17,ego_ctrl_161
0,control,3,18,ego_ctrl_162
6,control,4,1,ego_ctrl_145
3,control,4,2,ego_ctrl_146
3,control,4,3,ego_ctrl_147
3,control,4,4,ego_ctrl_148
3,control,4,5,ego_ctrl_149
2,control,4,6,ego_ctrl_150
3,control,4,7,ego_ctrl_151
3,control,4,8,ego_ctrl_152
1,control,4,9,ego_ctrl_153
0,control,4,10,ego_ctrl_154
1,control,4,11,ego_ctrl_155
4,control,4,12,ego_ctrl_156
2,control,4,13,ego_ctrl_157
0,control,4,14,ego_ctrl_158
5,control,4,15,ego_ctrl_159
3,control,4,16,ego_ctrl_160
1,control,4,17,ego_ctrl_161
0,control,4,18,ego_ctrl_162
6,control,5,1,ego_ctrl_145
1,control,5,2,ego_ctrl_146
3,control,5,3,ego_ctrl_147
4,control,5,4,ego_ctrl_148
3,control,5,5,ego_ctrl_149
4,control,5,6,ego_ctrl_150
3,control,5,7,ego_ctrl_151
2,control,5,8,ego_ctrl_152
0,control,5,9,ego_ctrl_153
4,control,5,10,ego_ctrl_154
5,control,5,11,ego_ctrl_155
2,control,5,12,ego_ctrl_156
0,control,5,13,ego_ctrl_157
1,control,5,14,ego_ctrl_158
3,control,5,15,ego_ctrl_159
2,control,5,16,ego_ctrl_160
3,control,5,17,ego_ctrl_161
1,control,5,18,ego_ctrl_162
4,control,2,1,ego_ctrl_163
5,control,2,2,ego_ctrl_164
1,control,2,3,ego_ctrl_165
5,control,2,4,ego_ctrl_166
4,control,2,5,ego_ctrl_167
3,control,2,6,ego_ctrl_168
4,control,2,7,ego_ctrl_169
4,control,2,8,ego_ctrl_170
1,control,2,9,ego_ctrl_171
2,control,2,10,ego_ctrl_172
4,control,2,11,ego_ctrl_173
0,control,2,12,ego_ctrl_174
3,control,2,13,ego_ctrl_175
1,control,2,14,ego_ctrl_176
3,control,2,15,ego_ctrl_177
2,control,2,16,ego_ctrl_178
0,control,2,17,ego_ctrl_179
2,control,2,18,ego_ctrl_180
4,control,3,1,ego_ctrl_163
2,control,3,2,ego_ctrl_164
2,control,3,3,ego_ctrl_165
3,control,3,4,ego_ctrl_166
3,control,3,5,ego_ctrl_167
4,control,3,6,ego_ctrl_168
4,control,3,7,ego_ctrl_169
3,control,3,8,ego_ctrl_170
2,control,3,9,ego_ctrl_171
2,control,3,10,ego_ctrl_172
5,control,3,11,ego_ctrl_173
1,control,3,12,ego_ctrl_174
3,control,3,13,ego_ctrl_175
1,control,3,14,ego_ctrl_176
2,control,3,15,ego_ctrl_177
3,control,3,16,ego_ctrl_178
1,control,3,17,ego_ctrl_179
0,control,3,18,ego_ctrl_180
4,control,4,1,ego_ctrl_163
3,control,4,2,ego_ctrl_164
2,control,4,3,ego_ctrl_165
3,control,4,4,ego_ctrl_166
6,control,4,5,ego_ctrl_167
4,control,4,6,ego_ctrl_168
6,control,4,7,ego_ctrl_169
2,control,4,8,ego_ctrl_170
1,control,4,9,ego_ctrl_171
1,control,4,10,ego_ctrl_172
6,control,4,11,ego_ctrl_173
2,control,4,12,ego_ctrl_174
4,control,4,13,ego_ctrl_175
1,control,4,14,ego_ctrl_176
3,control,4,15,ego_ctrl_177
2,control,4,16,ego_ctrl_178
2,control,4,17,ego_ctrl_179
0,control,4,18,ego_ctrl_180
4,control,5,1,ego_ctrl_163
3,control,5,2,ego_ctrl_164
4,control,5,3,ego_ctrl_165
5,control,5,4,ego_ctrl_166
4,control,5,5,ego_ctrl_167
2,control,5,6,ego_ctrl_168
3,control,5,7,ego_ctrl_169
3,control,5,8,ego_ctrl_170
0,control,5,9,ego_ctrl_171
2,control,5,10,ego_ctrl_172
4,control,5,11,ego_ctrl_173
0,control,5,12,ego_ctrl_174
2,control,5,13,ego_ctrl_175
3,control,5,14,ego_ctrl_176
2,control,5,15,ego_ctrl_177
2,control,5,16,ego_ctrl_178
0,control,5,17,ego_ctrl_179
1,control,5,18,ego_ctrl_180